,CD_ESTACAO,CHUVA,DC_NOME,DT_MEDICAO,HR_MEDICAO,PRE_INS,PRE_MAX,PRE_MIN,PTO_INS,PTO_MAX,PTO_MIN,RAD_GLO,TEM_INS,TEM_MAX,TEM_MIN,UF,UMD_INS,UMD_MAX,UMD_MIN,VEN_DIR,VEN_RAJ,VEN_VEL,VL_LATITUDE,VL_LONGITUDE
0,A606,0,ARRAIAL DO CABO,2020-01-01,0000,1009.8,1009.8,1009.4,23.3,23.7,23.3,-3.456,24.9,25.3,24.9,RJ,91,91,90,66,17.5,8.8,-22.97527777,-42.02138888
1,A606,0,ARRAIAL DO CABO,2020-01-01,0100,1010.5,1010.5,1009.8,23.3,23.5,23.2,-3.515,24.8,25,24.7,RJ,91,92,91,57,17.8,9.5,-22.97527777,-42.02138888
2,A606,0,ARRAIAL DO CABO,2020-01-01,0200,1010.7,1010.7,1010.4,23.3,23.3,23.1,-3.519,24.6,24.8,24.6,RJ,92,92,90,56,14.6,8.6,-22.97527777,-42.02138888
3,A606,0,ARRAIAL DO CABO,2020-01-01,0300,1010.3,1010.8,1010.3,23.5,23.5,23.2,-3.343,24.5,24.7,24.5,RJ,94,94,92,55,17.5,9.2,-22.97527777,-42.02138888
4,A606,0,ARRAIAL DO CABO,2020-01-01,0400,1009.6,1010.4,1009.6,23.4,23.5,23.3,-3.496,24.3,24.5,24.3,RJ,94,95,94,54,17.5,8.3,-22.97527777,-42.02138888
5,A606,0,ARRAIAL DO CABO,2020-01-01,0500,1009.1,1009.7,1009.1,23.3,23.4,23.3,-3.495,24.1,24.3,24.1,RJ,95,95,94,55,15.8,8.5,-22.97527777,-42.02138888
6,A606,0,ARRAIAL DO CABO,2020-01-01,0600,1008.6,1009.1,1008.6,23.1,23.4,23.1,-3.47,24,24.2,23.9,RJ,95,96,95,56,13.9,7.7,-22.97527777,-42.02138888
7,A606,0,ARRAIAL DO CABO,2020-01-01,0700,1008.4,1008.6,1008.3,22.9,23.1,22.9,-3.524,23.8,24,23.8,RJ,95,95,94,62,12.6,7,-22.97527777,-42.02138888
8,A606,0,ARRAIAL DO CABO,2020-01-01,0800,1009,1009,1008.4,22.9,23.2,22.9,-3.344,23.9,23.9,23.8,RJ,94,96,94,59,15.6,7.3,-22.97527777,-42.02138888
9,A606,0,ARRAIAL DO CABO,2020-01-01,0900,1009.1,1009.1,1008.9,22.9,23.1,22.7,182.019,24.2,24.2,23.8,RJ,93,94,93,60,13,6.3,-22.97527777,-42.02138888
10,A606,0,ARRAIAL DO CABO,2020-01-01,1000,1009.4,1009.4,1009,22.4,23,22.4,940.628,25.2,25.3,24.1,RJ,84,93,84,62,12,7.2,-22.97527777,-42.02138888
11,A606,0,ARRAIAL DO CABO,2020-01-01,1100,1009.2,1009.4,1009.1,22.5,22.6,22.2,1571.892,25.5,25.5,25.1,RJ,84,85,83,60,14.1,8,-22.97527777,-42.02138888
12,A606,0,ARRAIAL DO CABO,2020-01-01,1200,1009,1009.3,1009,22.1,22.6,22.1,2149.18,26.3,26.4,25.3,RJ,78,84,78,59,14.1,8.7,-22.97527777,-42.02138888
13,A606,0,ARRAIAL DO CABO,2020-01-01,1300,1008.9,1009.2,1008.9,21.9,22.5,21.9,3162.73,27,27.1,26.3,RJ,74,78,74,58,13.6,8.6,-22.97527777,-42.02138888
