DT_MEDICAO,Contagem,TP_MAX,TP_MIN
2019-09-01,24,29.250,18.050
2019-09-02,24,26.850,17.600
2019-09-03,24,28.450,18.250
2019-09-04,24,25.700,18.100
2019-09-05,24,21.600,16.750
2019-09-06,24,19.200,15.650
2019-09-07,24,27.700,15.800
2019-09-08,24,29.950,16.100
2019-09-09,24,33.500,15.950
2019-09-10,24,34.100,13.450
2019-09-11,24,34.150,15.450
2019-09-12,24,35.800,16.600
2019-09-13,24,25.550,19.200
2019-09-14,24,26.100,18.800
2019-09-15,24,28.800,19.450
2019-09-16,24,32.250,17.100
2019-09-17,24,34.450,16.550
2019-09-18,24,36.600,17.000
2019-09-19,24,33.250,20.300
2019-09-20,24,32.850,19.000
2019-09-21,24,26.050,19.400
2019-09-22,24,23.450,19.200
2019-09-23,24,19.300,16.000
2019-09-24,24,23.550,14.700
2019-09-25,24,19.950,15.100
2019-09-26,24,18.300,16.350
2019-09-27,24,26.650,15.000
2019-09-28,24,23.750,16.750
2019-09-29,24,23.950,16.300
2019-09-30,24,27.800,17.000
2019-10-01,24,29.500,17.250
2019-10-02,24,31.250,16.200
2019-10-03,24,30.200,15.900
2019-10-04,24,31.400,16.450
2019-10-05,24,32.200,16.950
2019-10-06,24,32.150,17.200
2019-10-07,24,29.100,20.050
2019-10-08,24,23.200,20.150
2019-10-09,24,21.400,19.100
2019-10-10,24,26.150,18.600
2019-10-11,24,30.950,18.900
2019-10-12,24,33.600,18.000
2019-10-13,24,35.200,18.250
2019-10-14,24,34.400,17.600
2019-10-15,24,30.450,20.300
2019-10-16,24,30.150,19.250
2019-10-17,24,31.050,19.150
2019-10-18,24,30.250,20.500
2019-10-19,24,28.200,19.500
2019-10-20,24,21.450,16.700
2019-10-21,24,21.900,16.650
2019-10-22,24,24.850,16.850
2019-10-23,24,25.500,18.250
2019-10-24,24,31.450,18.650
2019-10-25,24,33.150,19.900
2019-10-26,24,29.150,19.500
2019-10-27,24,33.450,20.200
2019-10-28,24,32.650,19.000
2019-10-29,24,32.500,19.450
2019-10-30,24,31.600,18.400
2019-10-31,24,30.900,20.350
2019-11-01,24,29.300,21.900
2019-11-02,24,30.300,20.750
2019-11-03,24,34.350,18.200
2019-11-04,24,35.350,20.150
2019-11-05,24,32.350,21.250
2019-11-06,24,26.150,20.600
2019-11-07,24,26.300,19.250
2019-11-08,24,25.250,20.750
2019-11-09,24,27.450,20.600
2019-11-10,24,28.950,21.950
2019-11-11,24,29.400,20.150
2019-11-12,24,23.900,18.900
2019-11-13,24,27.650,18.100
2019-11-14,24,23.250,20.400
2019-11-15,24,25.400,19.150
2019-11-16,24,26.500,17.150
2019-11-17,24,24.450,17.000
2019-11-18,24,20.950,17.600
2019-11-19,24,27.000,19.100
2019-11-20,24,27.050,20.100
2019-11-21,24,30.500,20.400
2019-11-22,24,30.900,19.250
2019-11-23,24,32.100,19.950
2019-11-24,24,21.500,16.600
2019-11-25,24,22.600,16.000
2019-11-26,24,27.150,17.350
2019-11-27,24,32.600,19.100
2019-11-28,24,27.050,20.550
2019-11-29,24,23.950,18.200
2019-11-30,24,30.050,18.800
2019-12-01,24,33.350,21.900
2019-12-02,24,27.400,20.050
2019-12-03,24,24.200,18.050
2019-12-04,24,27.650,18.950
2019-12-05,24,30.250,19.750
2019-12-06,24,25.600,18.400
2019-12-07,24,25.650,17.900
2019-12-08,24,28.950,14.550
2019-12-09,24,29.850,16.800
2019-12-10,24,23.800,20.850
2019-12-11,24,27.650,20.850
2019-12-12,24,24.000,19.950
2019-12-13,24,30.300,20.500
2019-12-14,24,27.700,21.800
2019-12-15,24,32.600,21.650
2019-12-16,24,34.600,18.000
2019-12-17,24,34.350,19.250
2019-12-18,24,31.250,21.450
2019-12-19,24,28.200,21.150
2019-12-20,24,27.750,20.800
2019-12-21,24,29.500,19.250
2019-12-22,24,31.650,20.950
2019-12-23,24,24.250,20.700
2019-12-24,24,29.150,19.500
2019-12-25,24,30.450,18.800
2019-12-26,24,32.900,19.500
2019-12-27,24,31.600,19.750
2019-12-28,24,31.700,21.000
2019-12-29,24,31.750,20.850
2019-12-30,24,31.450,20.000
2019-12-31,24,32.650,20.900
2020-01-01,24,33.500,20.750
2020-01-02,24,28.750,22.150
2020-01-03,24,26.700,21.300
2020-01-04,24,27.400,20.450
2020-01-05,24,29.900,20.900
2020-01-06,24,31.650,19.300
2020-01-07,24,35.450,19.850
2020-01-08,24,30.200,21.850
2020-01-09,24,31.800,21.800
2020-01-10,24,33.300,22.850
2020-01-11,24,33.600,21.850
2020-01-12,24,32.050,21.900
2020-01-13,24,25.950,22.400
2020-01-14,24,28.250,21.000
2020-01-15,24,30.900,20.500
2020-01-16,24,35.150,21.200
2020-01-17,24,26.300,20.600
2020-01-18,24,25.300,19.700
2020-01-19,24,26.500,19.100
2020-01-20,24,24.800,20.200
2020-01-21,24,28.050,17.500
2020-01-22,24,29.950,18.150
2020-01-23,24,23.550,20.350
2020-01-24,24,27.900,20.000
2020-01-25,24,29.700,19.750
2020-01-26,24,31.700,19.100
2020-01-27,24,33.150,18.150
2020-01-28,24,31.850,20.350
2020-01-29,24,32.200,20.800
2020-01-30,24,34.450,22.900
2020-01-31,24,32.900,21.750
2020-02-01,24,33.100,21.950
2020-02-02,24,30.350,21.350
2020-02-03,24,29.150,21.650
2020-02-04,24,28.600,20.500
2020-02-05,24,27.100,20.750
2020-02-06,24,25.400,20.750
2020-02-07,24,29.750,19.500
2020-02-08,24,31.950,20.000
2020-02-09,24,31.650,20.250
2020-02-10,24,29.200,22.250
2020-02-11,24,22.600,20.100
2020-02-12,24,21.550,18.600
2020-02-13,24,27.900,19.350
2020-02-14,24,28.900,19.800
2020-02-15,24,32.900,19.000
2020-02-16,24,31.800,20.850
2020-02-17,24,32.000,20.450
2020-02-18,24,32.600,20.700
2020-02-19,24,33.400,20.850
2020-02-20,24,33.300,20.500
2020-02-21,24,26.300,21.950
2020-02-22,24,27.450,20.300
2020-02-23,24,23.550,18.800
2020-02-24,24,22.800,18.900
2020-02-25,24,32.450,20.300
2020-02-26,24,28.150,21.300
2020-02-27,24,23.800,19.500
2020-02-28,24,21.850,18.500
2020-02-29,24,23.850,19.350
2020-03-01,24,23.550,20.500
2020-03-02,24,22.600,18.850
2020-03-03,24,27.750,18.700
2020-03-04,24,27.750,20.150
2020-03-05,24,28.100,18.800
2020-03-06,24,27.650,17.150
2020-03-07,24,27.900,17.950
2020-03-08,24,27.850,18.350
2020-03-09,24,28.350,17.500
2020-03-10,24,30.000,20.050
2020-03-11,24,29.750,20.400
2020-03-12,24,30.100,18.650
2020-03-13,24,31.550,20.400
2020-03-14,24,31.050,20.550
2020-03-15,24,29.650,21.500
2020-03-16,24,31.150,20.850
2020-03-17,24,26.200,20.500
2020-03-18,24,30.450,19.400
2020-03-19,24,28.900,21.850
2020-03-20,24,28.150,20.950
2020-03-21,24,23.600,20.100
2020-03-22,24,26.500,18.400
2020-03-23,24,26.450,18.050
2020-03-24,24,27.000,17.150
2020-03-25,24,27.200,15.400
2020-03-26,24,28.600,15.850
2020-03-27,24,28.150,18.450
2020-03-28,24,28.900,19.300
2020-03-29,24,28.250,20.550
2020-03-30,24,27.800,19.400
2020-03-31,24,28.900,20.600
2020-04-01,24,28.150,20.700
2020-04-02,24,32.600,21.300
2020-04-03,24,31.750,20.150
2020-04-04,24,28.500,15.900
2020-04-05,24,25.350,18.150
2020-04-06,24,30.400,19.600
2020-04-07,24,26.450,20.100
2020-04-08,24,23.450,18.700
2020-04-09,24,21.400,17.650
2020-04-10,24,23.800,16.300
2020-04-11,24,20.650,17.600
2020-04-12,24,22.150,17.700
2020-04-13,24,24.750,16.900
2020-04-14,24,28.900,17.200
2020-04-15,24,29.450,17.300
2020-04-16,24,22.750,20.250
2020-04-17,24,22.850,18.350
2020-04-18,24,24.950,17.850
2020-04-19,24,24.750,18.200
2020-04-20,24,26.550,16.350
2020-04-21,24,27.500,14.950
2020-04-22,24,25.900,17.600
2020-04-23,24,26.000,18.500
2020-04-24,24,27.250,19.050
2020-04-25,24,28.400,17.450
2020-04-26,24,29.100,14.400
2020-04-27,24,27.150,15.500
2020-04-28,24,26.900,16.050
2020-04-29,24,28.050,15.200
2020-04-30,24,29.800,13.050
2020-05-01,24,29.700,13.900
2020-05-02,24,29.200,17.950
2020-05-03,24,24.200,16.500
2020-05-04,24,23.400,16.100
2020-05-05,24,27.400,13.550
2020-05-06,24,28.300,15.350
2020-05-07,24,21.750,16.400
2020-05-08,24,22.700,15.300
2020-05-09,24,24.700,12.750
2020-05-10,24,24.950,12.250
2020-05-11,24,26.550,10.500
2020-05-12,24,26.650,10.750
2020-05-13,24,26.150,11.500
2020-05-14,24,23.950,16.600
2020-05-15,24,20.900,16.300
2020-05-16,24,22.000,16.900
2020-05-17,24,25.300,17.500
2020-05-18,24,25.850,18.350
2020-05-19,24,26.150,17.400
2020-05-20,24,26.500,17.050
2020-05-21,24,26.600,13.200
2020-05-22,24,27.000,14.200
2020-05-23,24,24.850,15.050
2020-05-24,24,21.950,16.900
2020-05-25,24,24.850,13.350
2020-05-26,24,24.050,10.850
2020-05-27,24,24.400,7.150
2020-05-28,24,22.450,8.750
2020-05-29,24,24.150,8.050
2020-05-30,24,25.100,8.500
2020-05-31,24,26.000,9.300
2020-06-01,24,27.700,9.050
2020-06-02,24,27.700,9.700
2020-06-03,24,26.000,15.000
2020-06-04,24,22.250,17.650
2020-06-05,24,22.700,18.150
2020-06-06,24,25.100,15.700
2020-06-07,24,23.400,17.150
2020-06-08,24,27.000,15.650
2020-06-09,24,29.150,18.100
2020-06-10,24,28.000,18.200
2020-06-11,24,30.800,17.900
2020-06-12,24,29.700,14.550
2020-06-13,24,30.150,14.850
2020-06-14,24,25.650,16.050
2020-06-15,24,21.750,17.300
2020-06-16,24,22.150,17.100
2020-06-17,24,22.800,16.650
2020-06-18,24,25.050,10.300
2020-06-19,24,26.000,11.550
2020-06-20,24,28.650,11.400
2020-06-21,24,29.500,15.450
2020-06-22,24,29.350,13.300
2020-06-23,24,27.000,11.100
2020-06-24,24,25.500,9.250
2020-06-25,24,27.100,9.500
2020-06-26,24,26.650,13.300
2020-06-27,24,24.850,16.150
2020-06-28,24,22.050,14.550
2020-06-29,24,21.850,16.050
2020-06-30,24,26.300,13.700
2020-07-01,24,27.250,18.350
2020-07-02,24,23.450,13.350
2020-07-03,24,23.650,14.950
2020-07-04,24,25.600,15.750
2020-07-05,24,27.050,14.100
2020-07-06,24,28.850,12.750
2020-07-07,24,29.700,13.350
2020-07-08,24,29.900,11.050
2020-07-09,24,22.750,11.450
2020-07-10,24,20.650,16.200
2020-07-11,24,26.500,15.300
2020-07-12,24,27.500,12.550
2020-07-13,24,31.250,12.650
2020-07-14,24,26.650,14.300
2020-07-15,24,21.200,16.200
2020-07-16,24,19.200,15.050
2020-07-17,24,26.300,15.450
2020-07-18,24,24.250,16.100
2020-07-19,24,25.800,10.700
2020-07-20,24,27.650,10.300
2020-07-21,24,28.750,11.300
2020-07-22,24,28.950,11.500
2020-07-23,24,28.250,12.000
2020-07-24,24,28.350,12.750
2020-07-25,24,28.950,12.200
2020-07-26,24,27.000,13.150
2020-07-27,24,28.650,16.550
2020-07-28,24,30.200,13.600
2020-07-29,24,25.350,14.650
2020-07-30,24,21.250,16.800
2020-07-31,24,21.000,15.050
2020-08-01,24,25.100,16.000
2020-08-02,24,25.050,14.750
2020-08-03,24,24.750,10.350
2020-08-04,24,24.650,12.100
2020-08-05,24,25.200,14.450
2020-08-06,24,26.300,10.450
2020-08-07,24,26.100,10.250
2020-08-08,24,27.550,10.750
2020-08-09,24,26.800,11.500
2020-08-10,24,28.500,11.200
2020-08-11,24,29.850,11.400
2020-08-12,24,30.600,12.200
2020-08-13,24,30.750,14.700
2020-08-14,24,31.650,15.400
2020-08-15,24,31.800,15.550
2020-08-16,24,22.850,16.400
2020-08-17,24,22.950,16.350
2020-08-18,24,30.050,16.650
2020-08-19,24,31.750,18.350
2020-08-20,24,21.850,17.800
