DT_MEDICAO,Contagem,TP_MAX,TP_MIN
2019-09-01,24,29.700,19.900
2019-09-02,24,28.200,20.300
2019-09-03,24,30.450,21.150
2019-09-04,24,29.800,18.600
2019-09-05,24,23.350,21.900
2019-09-06,24,21.050,18.500
2019-09-07,24,22.850,17.850
2019-09-08,24,26.150,18.350
2019-09-09,24,26.300,17.550
2019-09-10,24,28.500,19.950
2019-09-11,24,28.250,20.200
2019-09-12,24,30.850,20.550
2019-09-13,24,27.900,21.150
2019-09-14,24,28.400,21.950
2019-09-15,24,27.750,21.550
2019-09-16,24,28.100,21.550
2019-09-17,24,28.700,19.450
2019-09-18,24,31.150,22.900
2019-09-19,24,31.900,22.150
2019-09-20,24,31.300,23.250
2019-09-21,24,30.000,22.100
2019-09-22,24,29.800,21.900
2019-09-23,24,23.350,19.850
2019-09-24,24,21.850,17.550
2019-09-25,24,25.750,17.900
2019-09-26,24,24.650,19.350
2019-09-27,24,24.600,20.000
2019-09-28,24,26.000,17.900
2019-09-29,24,24.550,19.150
2019-09-30,24,24.350,20.000
2019-10-01,24,24.650,19.450
2019-10-02,24,27.550,17.000
2019-10-03,24,28.050,17.850
2019-10-04,24,26.600,20.550
2019-10-05,24,27.100,20.500
2019-10-06,24,27.800,20.250
2019-10-07,24,28.500,20.700
2019-10-08,24,29.650,21.800
2019-10-09,24,28.550,22.250
2019-10-10,24,27.450,22.950
2019-10-11,24,27.900,19.400
2019-10-12,24,28.650,19.900
2019-10-13,24,29.000,21.800
2019-10-14,24,30.250,19.150
2019-10-15,24,29.350,21.100
2019-10-16,24,28.400,22.000
2019-10-17,24,28.800,18.150
2019-10-18,24,29.900,20.400
2019-10-19,24,30.750,20.400
2019-10-20,24,24.950,20.800
2019-10-21,24,24.250,19.900
2019-10-22,24,27.300,19.850
2019-10-23,24,23.050,21.350
2019-10-24,24,26.750,20.100
2019-10-25,24,29.950,19.450
2019-10-26,24,31.100,22.500
2019-10-27,24,30.250,23.050
2019-10-28,24,32.250,22.350
2019-10-29,24,33.000,22.800
2019-10-30,24,31.250,23.400
2019-10-31,24,31.600,21.600
2019-11-01,24,32.300,23.650
2019-11-02,24,29.500,23.050
2019-11-03,24,32.000,20.750
2019-11-04,24,35.200,22.300
2019-11-05,24,36.250,23.600
2019-11-06,24,31.250,23.300
2019-11-07,24,30.400,23.800
2019-11-08,24,32.550,22.750
2019-11-09,24,33.000,23.600
2019-11-10,24,33.100,23.550
2019-11-11,24,32.800,22.900
2019-11-12,24,25.400,21.100
2019-11-13,24,24.750,21.750
2019-11-14,24,25.050,22.400
2019-11-15,24,26.050,23.300
2019-11-16,24,23.500,20.550
2019-11-17,14,,
2019-11-18,10,,
2019-11-19,9,,
2019-11-20,11,,
2019-11-21,12,,
2019-11-22,11,,
2019-11-23,12,,
2019-11-24,4,,
2019-11-25,12,,
2019-11-26,12,,
2019-11-27,12,,
2019-11-28,5,,
2019-11-29,9,,
2019-11-30,12,,
2019-12-01,3,,
2019-12-02,11,,
2019-12-03,12,,
2019-12-04,9,,
2019-12-05,11,,
2019-12-06,11,,
2019-12-07,11,,
2019-12-08,11,,
2019-12-09,4,,
2019-12-10,10,,
2019-12-11,12,,
2019-12-12,13,,
2019-12-13,4,,
2019-12-14,4,,
2019-12-15,10,,
2019-12-16,7,,
2019-12-17,2,,
2019-12-18,0,,
2019-12-19,2,,
2019-12-20,0,,
2019-12-21,1,,
2019-12-22,2,,
2019-12-23,1,,
2019-12-24,6,,
2019-12-25,9,,
2019-12-26,11,,
2019-12-27,11,,
2019-12-28,8,,
2019-12-29,10,,
2019-12-30,4,,
2019-12-31,1,,
2020-01-01,1,,
2020-01-02,2,,
2020-01-03,0,,
2020-01-04,4,,
2020-01-05,0,,
2020-01-06,2,,
2020-01-07,0,,
2020-01-08,0,,
2020-01-09,0,,
2020-01-10,3,,
2020-01-11,2,,
2020-01-12,1,,
2020-01-13,1,,
2020-01-14,0,,
2020-01-15,0,,
2020-01-16,4,,
2020-01-17,5,,
2020-01-18,5,,
2020-01-19,9,,
2020-01-20,8,,
2020-01-21,8,,
2020-01-22,9,,
2020-01-23,9,,
2020-01-24,10,,
2020-01-25,7,,
2020-01-26,9,,
2020-01-27,24,28.500,22.050
2020-01-28,24,32.650,23.350
2020-01-29,23,31.300,25.400
2020-01-30,24,31.900,24.650
2020-01-31,20,32.450,24.050
2020-02-01,24,33.400,24.150
2020-02-02,24,32.100,23.450
2020-02-03,24,32.300,24.150
2020-02-04,24,31.450,22.450
2020-02-05,24,31.250,25.050
2020-02-06,24,29.800,23.200
2020-02-07,24,28.350,22.850
2020-02-08,24,30.150,22.750
2020-02-09,24,33.200,23.150
2020-02-10,24,33.650,25.350
2020-02-11,24,27.600,23.250
2020-02-12,24,27.700,22.200
2020-02-13,24,26.950,22.450
2020-02-14,24,30.900,22.000
2020-02-15,24,30.750,22.750
2020-02-16,23,31.700,24.050
2020-02-17,24,29.700,23.700
2020-02-18,24,31.150,23.850
2020-02-19,24,31.000,23.550
2020-02-20,24,32.500,23.250
2020-02-21,24,33.700,24.700
2020-02-22,24,30.500,23.300
2020-02-23,24,26.150,21.850
2020-02-24,24,29.750,22.000
2020-02-25,24,31.000,23.200
2020-02-26,24,33.450,25.150
2020-02-27,24,31.950,23.950
2020-02-28,24,23.950,22.450
2020-02-29,24,28.800,22.650
2020-03-01,24,30.000,22.650
2020-03-02,24,27.400,20.700
2020-03-03,24,29.000,21.900
2020-03-04,24,29.100,22.450
2020-03-05,24,27.950,21.650
2020-03-06,24,26.700,20.750
2020-03-07,24,24.750,20.200
2020-03-08,24,28.100,20.200
2020-03-09,24,29.550,22.250
2020-03-10,24,28.900,22.450
2020-03-11,24,28.500,22.050
2020-03-12,24,28.450,22.350
2020-03-13,24,30.050,23.050
