DT_MEDICAO,Contagem,TP_MAX,TP_MIN
2019-09-01,24,29.250,18.450
2019-09-02,24,29.600,19.750
2019-09-03,24,31.550,20.250
2019-09-04,24,29.900,20.100
2019-09-05,24,23.900,18.550
2019-09-06,24,21.700,17.150
2019-09-07,24,23.450,17.950
2019-09-08,24,26.700,19.850
2019-09-09,24,28.450,17.800
2019-09-10,24,29.450,18.400
2019-09-11,24,29.400,18.900
2019-09-12,24,34.900,19.400
2019-09-13,24,27.550,20.550
2019-09-14,24,26.450,21.900
2019-09-15,24,29.700,21.550
2019-09-16,24,29.450,21.900
2019-09-17,24,32.150,19.500
2019-09-18,24,35.400,20.300
2019-09-19,24,32.300,20.400
2019-09-20,24,32.700,21.650
2019-09-21,24,29.200,20.400
2019-09-22,24,25.300,21.350
2019-09-23,24,23.350,17.550
2019-09-24,24,21.950,16.850
2019-09-25,24,22.750,17.100
2019-09-26,24,21.250,19.200
2019-09-27,24,25.300,18.900
2019-09-28,24,25.400,17.900
2019-09-29,24,23.400,18.500
2019-09-30,24,23.050,18.850
2019-10-01,24,25.050,18.950
2019-10-02,24,28.200,17.600
2019-10-03,24,28.250,18.800
2019-10-04,24,28.250,19.750
2019-10-05,24,27.800,20.400
2019-10-06,24,30.100,19.400
2019-10-07,24,29.550,22.700
2019-10-08,24,31.350,21.850
2019-10-09,24,29.800,21.500
2019-10-10,24,25.800,19.500
2019-10-11,24,27.800,20.550
2019-10-12,24,29.950,21.100
2019-10-13,24,29.450,21.650
2019-10-14,24,30.300,19.950
2019-10-15,24,29.950,21.000
2019-10-16,24,29.300,22.600
2019-10-17,24,28.300,20.750
2019-10-18,24,31.700,21.450
2019-10-19,24,29.250,20.850
2019-10-20,24,25.100,21.600
2019-10-21,24,22.800,19.200
2019-10-22,24,23.800,19.000
2019-10-23,24,25.750,20.550
2019-10-24,24,26.950,18.500
2019-10-25,24,31.000,20.900
2019-10-26,24,29.900,23.900
2019-10-27,24,31.850,24.250
2019-10-28,24,31.800,22.350
2019-10-29,24,34.400,22.450
2019-10-30,24,32.600,23.900
2019-10-31,24,32.200,22.500
