DT_MEDICAO,Contagem,TP_MAX,TP_MIN
2019-09-01,19,18.600,14.350
2019-09-02,24,18.050,11.550
2019-09-03,24,18.400,10.100
2019-09-04,24,16.300,10.050
2019-09-05,24,15.600,8.600
2019-09-06,24,15.950,10.900
2019-09-07,24,17.500,12.500
2019-09-08,20,19.450,16.150
2019-09-09,24,20.650,15.850
2019-09-10,24,21.000,15.950
2019-09-11,24,20.500,15.650
2019-09-12,24,17.900,16.050
2019-09-13,24,20.250,14.500
2019-09-14,24,19.400,15.800
2019-09-15,24,21.400,17.150
2019-09-16,24,24.400,18.050
2019-09-17,24,18.200,15.500
2019-09-18,24,17.100,15.100
2019-09-19,24,19.400,13.350
2019-09-20,24,19.000,15.250
2019-09-21,24,17.650,13.450
2019-09-22,24,21.700,9.400
2019-09-23,23,19.450,8.150
2019-09-24,24,20.600,11.400
2019-09-25,24,21.450,12.850
2019-09-26,24,22.100,15.150
2019-09-27,24,21.450,14.100
2019-09-28,24,19.600,16.750
2019-09-29,24,21.600,13.400
2019-09-30,24,22.450,15.800
2019-10-01,24,23.450,18.200
2019-10-02,24,24.500,19.050
2019-10-03,24,21.050,17.950
2019-10-04,23,19.350,17.850
2019-10-05,12,,
2019-10-06,16,,
2019-10-07,12,,
2019-10-08,24,24.750,15.600
2019-10-09,24,23.050,15.200
2019-10-10,24,24.050,17.250
2019-10-11,24,24.800,18.900
2019-10-12,24,24.550,18.900
2019-10-13,24,26.000,19.650
2019-10-14,24,21.950,15.450
2019-10-15,22,17.450,15.550
2019-10-16,24,18.900,16.250
2019-10-17,15,,
2019-10-18,12,,
2019-10-19,24,21.700,17.300
2019-10-20,24,21.850,13.800
2019-10-21,24,20.050,15.700
2019-10-22,24,21.300,16.600
2019-10-23,24,21.900,13.450
2019-10-24,24,24.700,18.250
2019-10-25,24,24.700,14.600
2019-10-26,24,23.350,15.700
2019-10-27,24,22.300,19.500
2019-10-28,24,26.700,17.900
2019-10-29,24,27.550,21.200
2019-10-30,24,27.150,20.000
2019-10-31,24,23.300,19.900
2019-11-01,23,21.150,19.850
2019-11-02,24,24.450,20.750
2019-11-03,24,22.300,20.100
2019-11-04,24,21.000,18.850
2019-11-05,23,22.400,19.750
2019-11-06,24,23.350,16.050
2019-11-07,24,21.650,19.450
2019-11-08,24,24.350,15.900
2019-11-09,23,24.200,20.350
2019-11-10,24,22.350,19.500
2019-11-11,24,23.950,18.400
2019-11-12,24,22.150,18.550
2019-11-13,24,22.450,19.450
2019-11-14,24,23.250,19.200
2019-11-15,24,23.100,18.900
2019-11-16,24,24.300,16.850
2019-11-17,24,24.850,15.200
2019-11-18,24,24.300,14.700
2019-11-19,24,24.200,18.150
2019-11-20,24,24.150,19.950
2019-11-21,24,24.050,19.350
2019-11-22,24,24.400,18.800
2019-11-23,24,21.700,18.600
2019-11-24,24,23.650,15.200
2019-11-25,24,22.750,17.500
2019-11-26,24,22.700,18.400
2019-11-27,24,22.700,18.650
2019-11-28,24,25.950,13.800
2019-11-29,24,23.100,15.450
2019-11-30,23,26.000,18.800
2019-12-01,24,24.600,19.500
2019-12-02,24,23.350,13.350
2019-12-03,24,22.700,12.700
2019-12-04,24,24.900,18.250
2019-12-05,24,26.400,19.750
2019-12-06,24,24.500,14.350
2019-12-07,24,25.900,18.350
2019-12-08,24,24.550,14.600
2019-12-09,24,28.400,20.050
2019-12-10,24,28.050,17.150
2019-12-11,24,26.750,19.700
2019-12-12,24,28.700,22.000
2019-12-13,24,24.850,19.800
2019-12-14,24,24.700,19.900
2019-12-15,24,25.800,21.450
2019-12-16,24,26.600,20.050
2019-12-17,24,22.550,19.250
2019-12-18,24,25.200,15.850
2019-12-19,24,24.950,19.300
2019-12-20,24,25.900,20.800
2019-12-21,24,33.100,22.700
2019-12-22,24,29.100,20.100
2019-12-23,24,28.250,17.000
2019-12-24,24,26.200,16.550
2019-12-25,24,28.750,19.300
2019-12-26,24,28.650,22.450
2019-12-27,24,27.350,23.600
2019-12-28,24,28.200,22.550
2019-12-29,24,28.700,23.100
2019-12-30,24,29.200,21.200
2019-12-31,24,28.900,21.350
2020-01-01,24,28.650,23.600
2020-01-02,24,26.150,21.800
2020-01-03,24,25.850,21.500
2020-01-04,24,25.050,20.450
2020-01-05,24,26.500,20.100
2020-01-06,24,27.900,22.300
2020-01-07,24,29.500,22.550
2020-01-08,24,26.550,21.200
2020-01-09,24,28.500,22.100
2020-01-10,24,29.700,24.650
2020-01-11,24,28.100,22.350
2020-01-12,24,29.000,23.550
2020-01-13,24,28.550,17.950
2020-01-14,24,27.000,22.550
2020-01-15,24,27.600,22.300
2020-01-16,24,25.700,21.200
2020-01-17,24,26.200,17.000
2020-01-18,24,25.700,15.650
2020-01-19,24,26.950,19.850
2020-01-20,24,27.200,21.850
2020-01-21,24,26.300,23.400
2020-01-22,24,25.050,21.600
2020-01-23,24,25.700,19.250
2020-01-24,24,27.450,19.750
2020-01-25,24,27.400,18.150
2020-01-26,24,29.500,20.500
2020-01-27,24,32.800,22.400
2020-01-28,24,27.200,22.900
2020-01-29,24,25.850,21.900
2020-01-30,24,29.650,22.000
2020-01-31,24,28.500,21.400
2020-02-01,24,27.500,19.600
2020-02-02,24,27.800,20.650
2020-02-03,24,27.550,22.000
2020-02-04,24,27.200,21.750
2020-02-05,24,27.800,22.450
2020-02-06,24,27.500,23.100
2020-02-07,24,27.550,23.550
2020-02-08,24,26.800,23.100
2020-02-09,24,26.650,22.300
2020-02-10,24,25.900,18.700
2020-02-11,24,25.900,17.500
2020-02-12,23,26.150,18.800
2020-02-13,23,26.350,18.700
2020-02-14,22,25.700,20.050
2020-02-15,22,27.700,21.250
2020-02-16,24,27.400,20.750
2020-02-17,22,25.550,21.550
2020-02-18,24,27.650,20.950
2020-02-19,24,27.050,22.000
2020-02-20,24,28.150,21.150
2020-02-21,21,24.250,20.000
2020-02-22,22,25.550,16.250
2020-02-23,20,24.900,15.950
2020-02-24,20,26.750,18.250
2020-02-25,20,27.500,22.350
2020-02-26,20,24.100,20.650
2020-02-27,22,26.000,14.800
2020-02-28,21,26.100,16.900
2020-02-29,20,26.950,17.400
2020-03-01,20,27.200,18.300
2020-03-02,19,26.700,21.050
2020-03-03,20,26.350,19.000
2020-03-04,20,27.350,19.350
2020-03-05,20,27.800,19.550
2020-03-06,19,24.900,18.700
2020-03-07,22,26.100,19.800
2020-03-08,20,26.950,20.750
2020-03-09,18,27.800,21.550
2020-03-10,19,29.450,18.800
2020-03-11,19,27.750,20.800
2020-03-12,19,28.300,23.000
2020-03-13,20,29.450,22.150
2020-03-14,20,28.150,21.950
2020-03-15,20,28.700,21.850
2020-03-16,18,24.850,21.250
2020-03-17,12,,
2020-03-18,20,24.900,21.250
2020-03-19,22,31.000,23.000
2020-03-20,22,27.450,19.600
