DT_MEDICAO,Contagem,TP_MAX,TP_MIN
2019-09-01,24,17.150,6.950
2019-09-02,24,13.350,3.350
2019-09-03,24,12.400,3.250
2019-09-04,24,11.050,2.650
2019-09-05,24,11.000,7.000
2019-09-06,24,16.050,10.350
2019-09-07,24,18.250,12.650
2019-09-08,24,15.100,12.050
2019-09-09,24,19.700,11.950
2019-09-10,24,15.700,10.700
2019-09-11,24,14.000,10.350
2019-09-12,24,14.350,10.900
2019-09-13,24,16.300,4.400
2019-09-14,24,16.050,9.200
2019-09-15,24,20.250,13.800
2019-09-16,24,13.800,12.150
2019-09-17,24,17.200,4.750
2019-09-18,24,15.850,9.200
2019-09-19,24,21.550,10.550
2019-09-20,24,16.200,8.100
2019-09-21,24,21.150,7.950
2019-09-22,24,15.450,10.200
2019-09-23,24,16.050,4.250
2019-09-24,24,18.350,9.050
2019-09-25,24,22.500,10.150
2019-09-26,24,18.050,14.250
2019-09-27,24,18.000,11.900
2019-09-28,24,17.550,13.550
2019-09-29,24,17.800,12.750
2019-09-30,24,25.800,15.400
2019-10-01,24,20.750,14.550
2019-10-02,24,17.350,13.350
2019-10-03,24,16.150,12.800
2019-10-04,24,15.900,14.250
2019-10-05,24,15.700,12.750
2019-10-06,24,15.950,9.800
2019-10-07,24,22.450,11.450
2019-10-08,24,23.450,14.250
2019-10-09,24,22.950,12.050
2019-10-10,24,27.350,16.500
2019-10-11,24,21.000,15.700
2019-10-12,24,17.900,15.950
2019-10-13,24,18.800,13.400
2019-10-14,24,12.950,10.800
2019-10-15,24,16.950,12.100
2019-10-16,24,17.750,13.600
2019-10-17,24,17.600,14.550
2019-10-18,24,19.350,15.300
2019-10-19,24,15.450,11.350
2019-10-20,24,16.600,11.050
2019-10-21,24,16.400,13.850
2019-10-22,24,20.750,10.750
2019-10-23,24,22.750,12.800
2019-10-24,24,20.600,10.950
2019-10-25,24,25.950,10.600
2019-10-26,24,27.650,15.950
2019-10-27,24,23.050,16.550
2019-10-28,24,26.350,16.400
2019-10-29,24,21.000,15.900
2019-10-30,24,17.550,15.850
2019-10-31,24,19.750,16.000
2019-11-01,24,20.300,16.300
2019-11-02,24,22.450,17.000
2019-11-03,24,17.700,13.600
2019-11-04,24,19.100,12.650
2019-11-05,24,19.450,15.800
2019-11-06,24,23.300,11.700
2019-11-07,24,24.250,13.800
2019-11-08,24,21.400,16.650
2019-11-09,24,20.700,17.350
2019-11-10,24,22.050,17.350
2019-11-11,24,22.100,17.050
2019-11-12,24,19.900,16.750
2019-11-13,24,26.400,17.850
2019-11-14,24,20.150,17.450
2019-11-15,24,19.450,15.050
2019-11-16,24,26.150,12.250
2019-11-17,24,27.250,16.650
2019-11-18,24,30.500,20.000
2019-11-19,24,25.200,18.900
2019-11-20,24,24.200,19.300
2019-11-21,24,23.950,18.750
2019-11-22,24,21.600,19.200
2019-11-23,24,21.050,18.100
2019-11-24,24,22.500,17.000
2019-11-25,24,21.600,17.450
2019-11-26,24,22.850,19.300
2019-11-27,24,20.750,16.200
2019-11-28,24,24.200,11.950
2019-11-29,24,29.600,17.700
2019-11-30,24,27.250,19.400
2019-12-01,24,20.150,15.450
2019-12-02,24,18.550,10.750
2019-12-03,24,21.950,9.150
2019-12-04,24,24.350,17.000
2019-12-05,24,20.700,14.250
2019-12-06,24,27.850,9.700
2019-12-07,24,20.150,10.150
2019-12-08,24,30.550,10.950
2019-12-09,24,26.900,18.050
2019-12-10,24,35.650,18.500
2019-12-11,24,33.750,21.000
2019-12-12,24,29.650,18.650
2019-12-13,24,19.950,15.700
2019-12-14,24,26.500,13.200
2019-12-15,24,21.400,18.850
2019-12-16,24,22.800,17.600
2019-12-17,24,25.850,16.200
2019-12-18,24,26.550,16.800
2019-12-19,24,27.000,17.700
2019-12-20,24,24.900,20.500
2019-12-21,24,24.650,18.650
2019-12-22,24,21.250,15.300
2019-12-23,24,23.650,11.250
2019-12-24,24,30.000,14.600
2019-12-25,24,26.800,19.550
2019-12-26,24,25.950,19.550
2019-12-27,24,27.950,21.850
2019-12-28,24,33.200,21.900
2019-12-29,24,27.350,21.600
2019-12-30,24,28.200,22.150
2019-12-31,24,25.200,22.850
2020-01-01,24,23.100,21.400
2020-01-02,24,23.450,21.000
2020-01-03,24,25.800,20.500
2020-01-04,24,26.300,20.450
2020-01-05,24,27.100,17.850
2020-01-06,24,29.600,21.000
2020-01-07,24,25.050,15.850
2020-01-08,24,29.100,16.450
2020-01-09,24,29.100,19.300
2020-01-10,24,27.650,22.300
2020-01-11,24,27.050,22.000
2020-01-12,24,26.650,16.900
2020-01-13,24,25.550,19.100
2020-01-14,24,26.250,19.350
2020-01-15,24,27.750,21.250
2020-01-16,24,21.150,16.050
2020-01-17,24,22.000,12.500
2020-01-18,24,25.600,14.150
2020-01-19,24,26.050,19.150
2020-01-20,24,26.450,20.700
2020-01-21,24,26.600,21.450
2020-01-22,24,27.650,21.450
2020-01-23,24,27.650,21.050
2020-01-24,24,27.450,16.850
2020-01-25,24,31.350,20.150
2020-01-26,24,27.750,14.700
2020-01-27,24,22.600,19.900
2020-01-28,24,24.600,19.100
2020-01-29,24,27.350,19.700
2020-01-30,24,24.050,19.700
2020-01-31,24,25.050,20.900
2020-02-01,24,26.300,16.350
2020-02-02,24,28.500,19.000
2020-02-03,24,26.650,21.100
2020-02-04,24,26.500,22.600
2020-02-05,24,27.200,22.600
2020-02-06,24,27.750,23.600
2020-02-07,24,27.800,24.450
2020-02-08,24,25.250,21.850
2020-02-09,24,23.000,19.900
2020-02-10,24,24.650,14.650
2020-02-11,24,25.150,16.650
2020-02-12,24,26.050,20.900
2020-02-13,24,26.050,19.700
2020-02-14,24,27.100,20.800
2020-02-15,24,26.400,20.250
2020-02-16,24,29.200,22.300
2020-02-17,24,30.950,24.500
2020-02-18,24,26.250,21.450
2020-02-19,24,24.850,18.900
2020-02-20,24,21.650,18.450
2020-02-21,24,19.450,12.100
2020-02-22,24,21.000,13.800
2020-02-23,24,24.650,13.600
2020-02-24,24,25.150,15.750
2020-02-25,24,27.000,18.850
2020-02-26,24,22.050,18.600
2020-02-27,24,27.150,11.900
2020-02-28,24,30.550,16.800
2020-02-29,24,25.350,20.750
2020-03-01,24,26.600,19.850
2020-03-02,24,26.250,18.900
2020-03-03,24,25.900,19.150
2020-03-04,24,26.350,20.200
2020-03-05,24,26.350,16.450
2020-03-06,24,25.300,18.450
2020-03-07,24,25.100,17.950
2020-03-08,24,29.600,19.050
2020-03-09,24,25.200,19.800
2020-03-10,24,25.350,20.850
2020-03-11,24,24.350,21.300
2020-03-12,24,30.250,21.700
2020-03-13,24,27.050,21.250
2020-03-14,24,25.750,21.050
2020-03-15,24,22.250,20.100
2020-03-16,24,23.800,20.000
2020-03-17,24,25.800,15.450
2020-03-18,24,22.750,21.050
2020-03-19,24,24.700,18.650
2020-03-20,24,23.500,16.750
2020-03-21,24,26.250,16.300
2020-03-22,24,27.200,14.000
2020-03-23,24,25.950,15.250
2020-03-24,24,27.250,20.350
2020-03-25,24,28.200,18.300
2020-03-26,24,25.600,21.050
2020-03-27,24,25.900,20.500
2020-03-28,24,25.900,21.300
2020-03-29,24,26.950,21.850
2020-03-30,24,25.550,19.800
2020-03-31,24,23.650,21.200
2020-04-01,24,23.600,20.450
2020-04-02,24,21.700,18.000
2020-04-03,24,22.200,16.950
2020-04-04,24,23.950,12.200
2020-04-05,24,26.550,15.150
2020-04-06,24,26.550,15.850
2020-04-07,24,18.250,9.250
2020-04-08,24,19.350,10.000
2020-04-09,24,19.950,13.800
2020-04-10,24,20.450,17.350
2020-04-11,24,23.050,16.900
2020-04-12,24,22.850,12.950
2020-04-13,24,22.000,16.100
2020-04-14,24,19.600,14.150
2020-04-15,24,19.900,14.200
2020-04-16,24,21.200,14.750
2020-04-17,24,21.400,16.100
2020-04-18,24,22.950,11.750
2020-04-19,24,24.450,16.750
2020-04-20,24,28.400,16.150
2020-04-21,24,21.900,15.650
2020-04-22,24,19.700,17.750
2020-04-23,24,21.250,18.150
2020-04-24,24,27.350,18.800
2020-04-25,24,29.750,17.150
2020-04-26,24,21.750,18.950
2020-04-27,24,20.500,18.600
2020-04-28,24,20.350,18.400
2020-04-29,24,22.550,14.150
2020-04-30,24,19.950,11.650
2020-05-01,24,19.350,12.150
2020-05-02,24,19.100,10.150
2020-05-03,24,20.250,14.700
2020-05-04,24,22.600,12.950
2020-05-05,24,20.100,12.400
2020-05-06,24,16.050,11.400
2020-05-07,24,16.700,7.950
2020-05-08,24,18.850,6.700
2020-05-09,24,21.100,9.100
2020-05-10,24,25.150,10.200
2020-05-11,24,20.300,16.350
2020-05-12,24,17.600,15.200
2020-05-13,24,17.150,15.200
2020-05-14,24,16.850,7.250
2020-05-15,24,18.100,4.250
2020-05-16,24,25.050,11.300
2020-05-17,24,26.550,14.050
2020-05-18,24,20.300,15.450
2020-05-19,24,24.450,15.650
2020-05-20,24,26.750,12.700
2020-05-21,24,23.150,17.650
2020-05-22,24,17.450,16.750
2020-05-23,24,16.650,15.300
2020-05-24,24,15.800,9.800
2020-05-25,24,15.550,11.150
2020-05-26,24,15.700,10.300
2020-05-27,24,17.250,6.500
2020-05-28,24,17.700,9.900
2020-05-29,24,21.750,11.350
2020-05-30,24,23.300,10.100
2020-05-31,24,16.600,8.600
2020-06-01,24,14.250,6.850
2020-06-02,24,14.450,6.400
2020-06-03,24,15.250,5.150
2020-06-04,24,15.350,4.400
2020-06-05,24,16.550,13.800
2020-06-06,24,15.850,12.700
2020-06-07,24,15.950,11.050
2020-06-08,24,16.100,13.900
2020-06-09,24,16.250,12.350
2020-06-10,24,14.900,7.250
2020-06-11,24,16.100,9.650
2020-06-12,24,19.650,14.900
2020-06-13,24,16.850,6.700
2020-06-14,24,12.250,2.400
2020-06-15,24,14.850,2.950
2020-06-16,24,22.300,13.600
2020-06-17,24,23.550,15.200
2020-06-18,24,21.100,14.150
2020-06-19,24,17.200,10.400
2020-06-20,24,15.750,13.700
2020-06-21,24,17.450,13.950
2020-06-22,24,16.050,14.050
2020-06-23,24,23.400,14.900
2020-06-24,24,20.500,14.900
2020-06-25,24,16.000,10.100
2020-06-26,24,12.650,6.050
2020-06-27,24,12.250,6.400
2020-06-28,24,14.100,4.850
2020-06-29,24,14.350,8.100
2020-06-30,24,14.800,13.750
2020-07-01,24,13.550,8.700
2020-07-02,24,11.300,5.750
2020-07-03,24,13.100,5.800
2020-07-04,24,13.500,7.300
2020-07-05,24,13.300,8.750
2020-07-06,24,12.850,5.650
2020-07-07,24,12.000,10.050
2020-07-08,24,12.300,10.000
2020-07-09,24,12.900,6.400
2020-07-10,24,14.550,5.750
2020-07-11,24,12.150,6.700
2020-07-12,24,13.450,4.650
2020-07-13,24,11.200,5.400
2020-07-14,24,11.100,2.150
2020-07-15,24,12.250,1.750
2020-07-16,24,12.800,2.200
2020-07-17,24,14.500,7.100
2020-07-18,24,16.500,13.000
2020-07-19,24,24.300,15.950
2020-07-20,24,27.000,18.700
2020-07-21,24,23.100,16.050
2020-07-22,24,16.100,13.100
2020-07-23,24,25.600,13.900
2020-07-24,24,21.050,7.750
2020-07-25,24,12.500,6.000
2020-07-26,24,14.750,4.350
2020-07-27,24,17.500,6.450
2020-07-28,24,11.250,4.000
2020-07-29,24,11.650,1.800
2020-07-30,24,12.400,3.350
2020-07-31,24,16.150,8.350
2020-08-01,24,10.300,6.200
2020-08-02,24,22.250,9.500
2020-08-03,24,16.700,11.150
2020-08-04,24,15.100,11.150
2020-08-05,24,25.300,11.350
2020-08-06,24,20.150,12.000
2020-08-07,24,12.850,11.200
2020-08-08,24,14.650,12.100
2020-08-09,24,20.300,11.800
2020-08-10,24,20.850,12.500
2020-08-11,24,12.500,5.950
2020-08-12,24,13.400,1.700
2020-08-13,24,13.600,3.050
2020-08-14,24,14.350,5.850
2020-08-15,24,17.500,10.450
2020-08-16,24,15.650,3.500
2020-08-17,24,14.050,6.550
2020-08-18,24,16.400,7.400
2020-08-19,24,11.750,7.550
2020-08-20,24,9.550,1.500
2020-08-21,24,15.950,1.950
2020-08-22,24,15.300,4.350
2020-08-23,24,15.600,6.650
2020-08-24,24,16.500,13.050
2020-08-25,24,15.500,13.000
2020-08-26,24,16.000,13.000
2020-08-27,24,15.000,12.750
2020-08-28,24,15.250,12.250
2020-08-29,24,14.350,12.150
2020-08-30,24,12.350,7.950
2020-08-31,24,12.500,4.650
2020-09-01,24,11.350,8.150
2020-09-02,24,13.150,10.550
2020-09-03,24,15.750,10.450
2020-09-04,24,15.100,7.450
2020-09-05,24,14.500,8.800
2020-09-06,24,13.700,11.100
2020-09-07,24,15.800,11.500
2020-09-08,24,17.400,11.800
2020-09-09,24,16.250,13.750
2020-09-10,24,15.650,11.800
2020-09-11,24,18.050,8.100
2020-09-12,24,14.300,11.000
2020-09-13,24,15.400,12.300
2020-09-14,24,14.050,10.750
2020-09-15,24,14.900,4.500
2020-09-16,24,15.900,11.850
2020-09-17,24,19.100,10.450
2020-09-18,24,18.800,12.600
2020-09-19,24,13.650,9.900
2020-09-20,24,17.750,3.950
2020-09-21,24,12.800,4.450
2020-09-22,24,14.200,3.150
2020-09-23,24,16.400,7.400
2020-09-24,24,14.900,8.500
2020-09-25,24,16.200,11.850
2020-09-26,24,16.700,13.550
2020-09-27,24,22.750,13.800
2020-09-28,24,19.550,11.300
2020-09-29,24,20.350,8.500
2020-09-30,24,21.650,10.850
