,CD_ESTACAO,CHUVA,DC_NOME,DT_MEDICAO,HR_MEDICAO,PRE_INS,PRE_MAX,PRE_MIN,PTO_INS,PTO_MAX,PTO_MIN,RAD_GLO,TEM_INS,TEM_MAX,TEM_MIN,UF,UMD_INS,UMD_MAX,UMD_MIN,VEN_DIR,VEN_RAJ,VEN_VEL,VL_LATITUDE,VL_LONGITUDE
0,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-07-01,0000,904.6,904.8,903.2,14.1,14.2,13.8,-3.016,18.2,19.1,18.1,RJ,77,77,72,215,11.7,2,-22.4486111,-42.98694444
1,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-07-01,0100,904.6,904.7,904.5,14.3,14.3,14.1,-3.416,17.5,18.3,17.4,RJ,81,82,77,182,7.1,2,-22.4486111,-42.98694444
2,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-07-01,0200,904,904.7,903.9,14.3,14.4,14.2,-3.535,17.4,17.8,17.2,RJ,82,83,80,154,6.7,1.9,-22.4486111,-42.98694444
3,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-07-01,0300,904.9,904.9,904,14.5,14.5,14.3,-3.536,17,17.5,17,RJ,85,85,82,242,6.7,2.2,-22.4486111,-42.98694444
4,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-07-01,0400,904.8,905.1,904.6,14.5,14.5,14.4,-3.526,16.7,17.1,16.7,RJ,87,87,84,266,9.5,2.5,-22.4486111,-42.98694444
5,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-07-01,0500,904.4,905,904.4,14.5,14.5,14.4,-3.51,16.5,16.7,16.5,RJ,88,88,87,265,7.3,2.3,-22.4486111,-42.98694444
6,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-07-01,0600,903.9,904.4,903.9,14.5,14.5,14.4,-3.043,16.4,16.7,16.3,RJ,88,89,87,267,6.2,1.9,-22.4486111,-42.98694444
7,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-07-01,0700,902.9,904,902.9,14.3,14.5,14.2,-2.087,16.1,16.4,16.1,RJ,89,89,88,230,9.3,2.3,-22.4486111,-42.98694444
8,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-07-01,0800,902.9,903,902.3,14,14.3,14,-3.527,16.1,16.3,16,RJ,87,89,87,214,10.2,1.8,-22.4486111,-42.98694444
9,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-07-01,0900,902.9,903.3,902.8,14,14,13.9,-3.538,15.7,16.2,15.7,RJ,90,90,86,204,5.7,1.4,-22.4486111,-42.98694444
