,VEN_DIR,DT_MEDICAO,DC_NOME,CHUVA,PRE_INS,VL_LATITUDE,PRE_MIN,UMD_MAX,PRE_MAX,VEN_VEL,UF,PTO_MIN,TEM_MAX,RAD_GLO,PTO_INS,VEN_RAJ,TEM_INS,UMD_INS,CD_ESTACAO,TEM_MIN,VL_LONGITUDE,HR_MEDICAO,UMD_MIN,PTO_MAX
0,265,2020-09-01,ARRAIAL DO CABO,0,1023.8,-22.97527777,1023.4,,1023.8,3.4,RJ,,22.4,-2.714,,6.9,22.2,,A606,22.2,-42.02138888,0000,,
1,281,2020-09-01,ARRAIAL DO CABO,0,1024.1,-22.97527777,1023.8,,1024.1,2.9,RJ,,22.2,-1.727,,6.4,22.2,,A606,22,-42.02138888,0100,,
2,270,2020-09-01,ARRAIAL DO CABO,0,1024.4,-22.97527777,1024.1,,1024.4,2.8,RJ,,22.4,-1.562,,5.6,22.4,,A606,22.2,-42.02138888,0200,,
3,323,2020-09-01,ARRAIAL DO CABO,0,1024.1,-22.97527777,1024.1,,1024.4,1,RJ,,22.4,-1.115,,5.4,22.4,,A606,22.3,-42.02138888,0300,,
4,240,2020-09-01,ARRAIAL DO CABO,0,1023.8,-22.97527777,1023.8,,1024.1,0.8,RJ,,22.4,-2.252,,3,22,,A606,22,-42.02138888,0400,,
5,251,2020-09-01,ARRAIAL DO CABO,0,1023.2,-22.97527777,1023.2,,1023.9,0.7,RJ,,22,-2.986,,2,22,,A606,21.8,-42.02138888,0500,,
6,283,2020-09-01,ARRAIAL DO CABO,0,1022.9,-22.97527777,1022.8,,1023.2,1.5,RJ,,22,-3.434,,4.1,21.8,,A606,21.8,-42.02138888,0600,,
7,283,2020-09-01,ARRAIAL DO CABO,0,1022.5,-22.97527777,1022.5,,1022.9,1.7,RJ,,21.9,-3.267,,3.5,21.8,,A606,21.7,-42.02138888,0700,,
8,274,2020-09-01,ARRAIAL DO CABO,0,1022.7,-22.97527777,1022.5,,1022.7,1.8,RJ,,21.9,-2.175,,3.6,21.9,,A606,21.8,-42.02138888,0800,,
9,267,2020-09-01,ARRAIAL DO CABO,0,1023.3,-22.97527777,1022.7,,1023.3,2,RJ,,22,-1.572,,3.6,22,,A606,21.8,-42.02138888,0900,,
10,271,2020-09-01,ARRAIAL DO CABO,0,1024,-22.97527777,1023.3,,1024,2.2,RJ,,22.4,171.692,,4.1,22.4,,A606,22,-42.02138888,1000,,
11,271,2020-09-01,ARRAIAL DO CABO,0,1024.8,-22.97527777,1023.9,,1024.8,2.4,RJ,,23.4,759.609,23.4,4.1,23.4,100,A606,22.3,-42.02138888,1100,,
12,271,2020-09-01,ARRAIAL DO CABO,0,1025.5,-22.97527777,1024.8,100,1025.5,3,RJ,22.5,24,1595.452,22.9,4.9,23.9,94,A606,23.3,-42.02138888,1200,93,23.8
13,246,2020-09-01,ARRAIAL DO CABO,0,1025.7,-22.97527777,1025.4,95,1025.7,3,RJ,22.4,24.9,2373.372,22.6,5.6,24.7,88,A606,23.9,-42.02138888,1300,87,23.3
14,250,2020-09-01,ARRAIAL DO CABO,0,1025.6,-22.97527777,1025.6,91,1025.8,3.9,RJ,22,25.2,2525.473,22.4,5.9,24.6,87,A606,24.2,-42.02138888,1400,84,23.2
15,261,2020-09-01,ARRAIAL DO CABO,0,1025,-22.97527777,1025,92,1025.6,3.6,RJ,21.9,25.3,2868.856,22.5,6.6,25.1,85,A606,24.1,-42.02138888,1500,84,23.1
16,275,2020-09-01,ARRAIAL DO CABO,0,1024.3,-22.97527777,1024.2,95,1025,1.6,RJ,22.3,25.6,2540.351,23.1,6.6,24.8,90,A606,24.4,-42.02138888,1600,85,24.1
17,63,2020-09-01,ARRAIAL DO CABO,0,1023.5,-22.97527777,1023.5,99,1024.3,2.8,RJ,22.8,25.7,1687.789,23.7,7.4,23.9,99,A606,23.8,-42.02138888,1700,90,24.8
18,127,2020-09-01,ARRAIAL DO CABO,0,1023.1,-22.97527777,1023.1,100,1023.5,3.8,RJ,23,24,1565.231,23.3,11.3,23.8,97,A606,23.4,-42.02138888,1800,95,23.9
19,155,2020-09-01,ARRAIAL DO CABO,0,1023,-22.97527777,1023,99,1023.2,4.6,RJ,22.7,23.9,1301.007,22.9,11.3,23.2,98,A606,23.1,-42.02138888,1900,95,23.3
20,165,2020-09-01,ARRAIAL DO CABO,0,1023.2,-22.97527777,1023,100,1023.2,4.8,RJ,22.7,23.3,501.794,22.9,9.7,22.9,100,A606,22.8,-42.02138888,2000,97,23
