,CD_ESTACAO,CHUVA,DC_NOME,DT_MEDICAO,HR_MEDICAO,PRE_INS,PRE_MAX,PRE_MIN,PTO_INS,PTO_MAX,PTO_MIN,RAD_GLO,TEM_INS,TEM_MAX,TEM_MIN,UF,UMD_INS,UMD_MAX,UMD_MIN,VEN_DIR,VEN_RAJ,VEN_VEL,VL_LATITUDE,VL_LONGITUDE
0,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,0000,1012.1,1012.1,1011.8,21.4,21.7,20.9,-2.451,25.2,25.8,24.7,RJ,79,83,74,198,2,0.3,-22.86138888,-43.41138888
1,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,0100,1012.3,1012.3,1012.1,22.5,22.6,21.2,-2.061,24.5,25.4,24.4,RJ,89,89,78,73,1.3,0,-22.86138888,-43.41138888
2,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,0200,1012.2,1012.4,1012.1,22.2,22.5,22.2,-3.219,23.9,24.5,23.9,RJ,90,91,88,18,1.8,0.1,-22.86138888,-43.41138888
3,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,0300,1011.8,1012.2,1011.8,22.3,22.3,22.1,-3.068,23.4,24.1,23.3,RJ,94,94,89,95,0.8,0,-22.86138888,-43.41138888
4,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,0400,1011.7,1011.8,1011.7,22.2,22.4,22.1,-3.291,22.9,23.4,22.9,RJ,96,96,94,35,0.8,0,-22.86138888,-43.41138888
5,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,0500,1011,1011.7,1011,22.1,22.6,22.1,-1.518,23.4,23.6,22.9,RJ,92,96,92,33,1.2,0,-22.86138888,-43.41138888
6,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,0600,1010.7,1011,1010.7,22.8,23,21.7,-1.879,24.1,24.1,22.8,RJ,93,96,92,212,3,0.5,-22.86138888,-43.41138888
7,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,0700,1010.9,1010.9,1010.7,21.9,22.8,21.8,-3.206,22.8,24.1,22.7,RJ,95,95,89,24,3,0.1,-22.86138888,-43.41138888
8,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,0800,1011.4,1011.5,1010.8,22.7,22.8,22,-2.058,23.6,23.7,22.8,RJ,95,97,95,176,1.5,0.2,-22.86138888,-43.41138888
9,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,0900,1011.9,1011.9,1011.3,21.8,22.7,21.8,-2.298,22.5,23.7,22.5,RJ,96,96,93,1,1.3,0.4,-22.86138888,-43.41138888
10,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,1000,1012.4,1012.4,1011.9,23.4,23.4,21.7,158.292,24.4,24.4,22.3,RJ,94,98,94,342,1.1,0,-22.86138888,-43.41138888
11,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,1100,1012.9,1012.9,1012.3,21.8,23.5,21.5,561.343,26,26,24.4,RJ,78,94,78,159,5.1,2.4,-22.86138888,-43.41138888
12,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,1200,1013.5,1013.5,1012.9,20.4,22,20.3,1331.758,26.4,26.8,25.9,RJ,70,79,69,167,5.1,2.7,-22.86138888,-43.41138888
13,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,1300,1013.4,1013.6,1013.4,20.8,21.1,20.3,927.574,27.3,27.3,26.2,RJ,67,72,67,188,4.7,1.7,-22.86138888,-43.41138888
14,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,1400,1013.1,1013.4,1013.1,19.9,21.7,19.7,1934.965,27.8,28.6,27.3,RJ,62,68,62,185,5.3,1.8,-22.86138888,-43.41138888
15,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,1500,1012.3,1013.1,1012.3,20.8,21,19.8,1762.608,29.3,29.4,27.5,RJ,60,66,59,164,4.8,1.9,-22.86138888,-43.41138888
16,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,1600,1011.5,1012.3,1011.5,20.4,21,19.5,1998.122,29.4,29.4,28.5,RJ,58,62,57,196,4.1,1.3,-22.86138888,-43.41138888
17,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,1700,1010.9,1011.5,1010.9,20.2,20.6,19.3,1318.505,29.2,29.4,28.7,RJ,58,60,55,143,3.2,1.5,-22.86138888,-43.41138888
18,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,1800,1010.9,1010.9,1010.7,19.7,20.3,19.1,969.107,27.9,29.9,27.8,RJ,61,61,53,245,6,2.5,-22.86138888,-43.41138888
19,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,1900,1011.1,1011.1,1010.7,19,19.9,19,1214.624,27.9,28.8,27.9,RJ,58,61,57,242,6.4,2.2,-22.86138888,-43.41138888
20,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,2000,1011.4,1011.4,1011.1,19.1,19.6,18.7,317.981,27.4,27.9,27.1,RJ,60,62,58,202,5.3,2.4,-22.86138888,-43.41138888
21,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,2100,1011.7,1011.7,1011.4,19.6,19.6,19,77.452,26.6,27.4,26.6,RJ,66,66,60,172,5.2,1.7,-22.86138888,-43.41138888
22,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,2200,1012.4,1012.4,1011.7,21.2,21.2,19.6,-1.925,25.7,26.7,25.6,RJ,76,77,65,150,4.9,2.1,-22.86138888,-43.41138888
23,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-01,2300,1013.2,1013.2,1012.4,21.2,21.3,21,-3.194,24.5,25.7,24.4,RJ,82,82,76,110,4.9,1.5,-22.86138888,-43.41138888
24,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,0000,1013.6,1013.6,1013.2,20.5,21.4,20.5,-3.54,24.7,24.8,24.4,RJ,78,82,78,148,5.1,2.1,-22.86138888,-43.41138888
25,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,0100,1013.8,1013.9,1013.6,20.3,20.6,20.2,-2.668,25,25,24.6,RJ,75,78,75,179,4.7,0.8,-22.86138888,-43.41138888
26,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,0200,1013.5,1013.8,1013.5,20.7,20.7,20.2,-2.932,24.7,25,24.6,RJ,79,79,75,181,3.6,1.3,-22.86138888,-43.41138888
27,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,0300,1013.1,1013.5,1013.1,20.9,20.9,20.7,-3.305,24.1,24.7,24,RJ,82,82,79,127,4.1,0.5,-22.86138888,-43.41138888
28,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,0400,1012.7,1013.1,1012.6,20.9,21.2,20.4,-3.54,22,24.2,22,RJ,93,93,82,22,2.7,0.3,-22.86138888,-43.41138888
29,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,0500,1012.4,1012.7,1012.4,21.2,21.6,20.9,-3.54,22.1,22.4,22,RJ,95,96,93,67,0.9,0,-22.86138888,-43.41138888
30,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,0600,1011.5,1012.4,1011.5,21.1,21.4,21.1,-3.54,21.8,22.3,21.8,RJ,96,96,95,28,0.6,0,-22.86138888,-43.41138888
31,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,0700,1011,1011.5,1011,20.8,21.2,20.5,-3.54,21.1,21.8,21,RJ,98,98,96,31,0.7,0,-22.86138888,-43.41138888
32,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,0800,1011.5,1011.6,1011,20.5,20.8,20.5,-3.535,20.7,21.1,20.7,RJ,99,99,98,348,0.8,0,-22.86138888,-43.41138888
33,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,0900,1011.7,1011.7,1011.4,20.7,20.8,20.4,-1.045,20.8,20.9,20.6,RJ,99,99,99,321,0,0,-22.86138888,-43.41138888
34,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,1000,1011.8,1012,1011.7,22.8,22.8,20.7,229.151,23.3,23.3,20.8,RJ,97,99,97,137,0,0,-22.86138888,-43.41138888
35,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,1100,1012,1012,1011.7,21.3,22.9,21.3,837.494,25.6,25.7,23.3,RJ,77,97,77,171,2.5,1.2,-22.86138888,-43.41138888
36,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,1200,1011.6,1012.1,1011.6,21.7,22.2,21,1657.556,26.7,26.7,24.9,RJ,74,82,73,141,4.1,1,-22.86138888,-43.41138888
37,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,1300,1011.2,1011.7,1011.2,20.5,21.7,20.5,2366.582,27.3,27.6,26.3,RJ,67,74,66,139,4.6,2.1,-22.86138888,-43.41138888
38,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,1400,1010,1011.2,1010,20.9,21.6,20.2,2895.935,29.2,29.3,27.3,RJ,61,68,60,130,4.7,2.2,-22.86138888,-43.41138888
39,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,1500,1008.9,1010,1008.9,20.8,21.1,19.8,3069.268,30.4,30.4,28.9,RJ,57,62,56,117,5.8,2,-22.86138888,-43.41138888
40,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,1600,1007.4,1008.9,1007.4,20.4,21.6,19.8,3041.129,31.4,31.8,30.1,RJ,52,57,50,152,5.4,1.2,-22.86138888,-43.41138888
41,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,1700,1006.2,1007.4,1006.2,20.2,21.6,19.8,2776.54,32.8,33.1,31.4,RJ,48,54,46,63,3.9,0.6,-22.86138888,-43.41138888
42,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,1800,1005.3,1006.2,1005.3,19.8,20.9,19.8,2033.679,33.7,34.3,32.3,RJ,44,50,43,309,2.9,0.8,-22.86138888,-43.41138888
43,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,1900,1005.1,1005.3,1005,21.2,21.7,19.5,1516.84,33.1,34.2,33.1,RJ,50,50,43,208,4,1.8,-22.86138888,-43.41138888
44,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,2000,1005.1,1005.2,1005,21.2,21.5,20.7,794.099,31.5,33.1,31.5,RJ,54,54,49,135,4,2.1,-22.86138888,-43.41138888
45,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,2100,1005.3,1005.3,1005.1,20.7,21.5,20.7,132.416,30.1,31.5,30.1,RJ,57,58,54,136,3.8,1,-22.86138888,-43.41138888
46,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,2200,1005.2,1005.3,1005.2,22.2,22.2,20.6,-3.54,27.4,30.2,27.4,RJ,73,73,57,10,2.1,0,-22.86138888,-43.41138888
47,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-02,2300,1005.6,1005.6,1005.2,23,23,22,-3.525,26.7,27.4,26.3,RJ,80,80,73,119,1.2,0.3,-22.86138888,-43.41138888
48,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-03,0000,1005.8,1005.8,1005.6,23.9,23.9,23,-2.905,28.3,28.3,26.7,RJ,77,80,74,134,2.2,1,-22.86138888,-43.41138888
49,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-03,0100,1005.4,1005.8,1005.4,24.1,24.5,23.5,-3.538,26.3,28.3,26.2,RJ,88,88,77,107,2.3,0,-22.86138888,-43.41138888
50,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-03,0200,1004.8,1005.4,1004.8,24.6,24.9,24,-3.473,25.5,27,25.4,RJ,95,95,87,15,1.4,0.4,-22.86138888,-43.41138888
51,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-04-03,0300,1004.2,1004.8,1004.2,24.9,24.9,24,-3.458,25.5,25.6,24.7,RJ,97,97,95,5,1.7,0.7,-22.86138888,-43.41138888
