,CD_ESTACAO,CHUVA,DC_NOME,DT_MEDICAO,HR_MEDICAO,PRE_INS,PRE_MAX,PRE_MIN,PTO_INS,PTO_MAX,PTO_MIN,RAD_GLO,TEM_INS,TEM_MAX,TEM_MIN,UF,UMD_INS,UMD_MAX,UMD_MIN,VEN_DIR,VEN_RAJ,VEN_VEL,VL_LATITUDE,VL_LONGITUDE
0,A609,0,RESENDE,2020-07-01,0000,960,960.1,959.5,8.6,8.7,8.2,-3.099,25.4,25.8,24.7,RJ,34,36,33,322,16.4,9.4,-22.45138888,-44.44499999
1,A609,0,RESENDE,2020-07-01,0100,960.4,960.6,960,9.2,9.4,8.6,-3.267,25.3,25.6,24.9,RJ,36,37,34,326,16.5,10.1,-22.45138888,-44.44499999
2,A609,0,RESENDE,2020-07-01,0200,961.3,961.3,960.2,10.1,10.2,9.2,-3.148,23.1,25.4,23.1,RJ,44,44,36,306,16.5,1.9,-22.45138888,-44.44499999
3,A609,0,RESENDE,2020-07-01,0300,961.1,961.3,960.9,10.8,11.2,9.9,-3.533,21.6,23.1,19.5,RJ,50,58,44,124,4.4,2.6,-22.45138888,-44.44499999
4,A609,0,RESENDE,2020-07-01,0400,960.8,961.2,960.6,11.3,11.4,10.6,-3.519,20.7,22.6,20.7,RJ,55,55,48,150,5.3,2.6,-22.45138888,-44.44499999
5,A609,0,RESENDE,2020-07-01,0500,960.5,960.9,960.4,11.4,12.5,11.3,-3.54,17.6,20.7,17.5,RJ,67,68,55,261,8.2,3.1,-22.45138888,-44.44499999
6,A609,0,RESENDE,2020-07-01,0600,958.9,960.5,958.9,11.7,12,11.5,-3.52,19.6,20.4,17.4,RJ,60,69,58,102,6.1,3,-22.45138888,-44.44499999
7,A609,0,RESENDE,2020-07-01,0700,959.2,959.5,958.6,12.2,12.3,11.7,-3.503,17.7,21.3,17.2,RJ,70,71,56,297,6.4,1.7,-22.45138888,-44.44499999
8,A609,0,RESENDE,2020-07-01,0800,958.7,959.2,958.7,12.5,12.8,11.8,-3.343,19,19.3,17.6,RJ,66,70,65,117,6.6,3.9,-22.45138888,-44.44499999
9,A609,0,RESENDE,2020-07-01,0900,957.9,958.7,957.9,12.1,12.6,12.1,-3.346,19.4,19.7,17.7,RJ,63,71,63,121,6.1,3.4,-22.45138888,-44.44499999
