,CD_ESTACAO,CHUVA,DC_NOME,DT_MEDICAO,HR_MEDICAO,PRE_INS,PRE_MAX,PRE_MIN,PTO_INS,PTO_MAX,PTO_MIN,RAD_GLO,TEM_INS,TEM_MAX,TEM_MIN,UF,UMD_INS,UMD_MAX,UMD_MIN,VEN_DIR,VEN_RAJ,VEN_VEL,VL_LATITUDE,VL_LONGITUDE
0,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-05-01,0000,910.1,910.1,909.7,13.7,14,13.7,-3.54,15.2,15.9,15.1,RJ,91,91,87,295,0,0,-22.4486111,-42.98694444
1,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-05-01,0100,910,910.1,910,13.4,13.8,13.3,-3.54,14.5,15.2,14.5,RJ,93,93,91,259,0,0,-22.4486111,-42.98694444
2,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-05-01,0200,909.9,910,909.9,13.2,13.5,13.2,-3.54,14.1,14.5,14.1,RJ,94,94,93,257,0,0,-22.4486111,-42.98694444
3,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-05-01,0300,909.7,910,909.7,12.7,13.2,12.7,-3.54,13.5,14.1,13.5,RJ,95,95,94,296,0,0,-22.4486111,-42.98694444
4,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-05-01,0400,909.3,909.7,909.2,12.3,12.9,12.3,-3.54,13.1,13.6,13.1,RJ,95,95,94,214,0,0,-22.4486111,-42.98694444
5,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-05-01,0500,908.9,909.3,908.9,12.6,12.7,12.4,-3.539,13.3,13.4,13.1,RJ,96,96,95,251,0,0,-22.4486111,-42.98694444
6,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-05-01,0600,908.7,908.9,908.7,12.2,12.8,12.2,-3.539,12.9,13.4,12.9,RJ,96,96,95,236,0,0,-22.4486111,-42.98694444
7,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-05-01,0700,908.5,908.7,908.5,12.2,12.3,12.1,-3.539,12.7,12.9,12.7,RJ,96,96,96,231,0,0,-22.4486111,-42.98694444
8,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-05-01,0800,908.6,908.6,908.4,12.5,12.5,12.1,-3.539,13,13.1,12.7,RJ,97,97,96,229,0,0,-22.4486111,-42.98694444
9,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-05-01,0900,909.3,909.3,908.6,11.9,12.4,11.9,-3.403,12.4,13,12.4,RJ,97,97,96,215,0,0,-22.4486111,-42.98694444
10,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-05-01,1000,910.1,910.1,909.3,12.6,12.6,11.8,102.359,13,13,12.3,RJ,97,97,97,204,0,0,-22.4486111,-42.98694444
11,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-05-01,1100,910.7,910.7,910.1,14.7,15.1,12.7,816.998,17.5,17.5,13,RJ,84,98,84,89,0,0,-22.4486111,-42.98694444
12,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-05-01,1200,911.1,911.1,910.7,15,15.5,13.8,1571.644,19.9,20.1,17.3,RJ,73,84,71,79,0,0,-22.4486111,-42.98694444
