,VEN_DIR,DT_MEDICAO,DC_NOME,CHUVA,PRE_INS,VL_LATITUDE,PRE_MIN,UMD_MAX,PRE_MAX,VEN_VEL,UF,PTO_MIN,TEM_MAX,RAD_GLO,PTO_INS,VEN_RAJ,TEM_INS,UMD_INS,CD_ESTACAO,TEM_MIN,VL_LONGITUDE,HR_MEDICAO,UMD_MIN,PTO_MAX
0,54,2020-09-01,RESENDE,0,973.2,-22.45138888,972.4,75,973.2,3,RJ,16,21,-2.351,16,6.1,20.7,75,A609,20.5,-44.44499999,0000,73,16.1
1,72,2020-09-01,RESENDE,0,973.9,-22.45138888,973.2,75,973.9,3.1,RJ,15.9,20.8,-1.616,16,6,20.8,74,A609,20.7,-44.44499999,0100,73,16
2,50,2020-09-01,RESENDE,0,974.2,-22.45138888,973.9,76,974.2,3.1,RJ,15.9,20.9,-2.589,16,6.3,20.8,74,A609,20.3,-44.44499999,0200,74,16.1
3,91,2020-09-01,RESENDE,0,974.2,-22.45138888,974.1,76,974.3,1.4,RJ,15.9,20.9,-1.962,16,6.3,20.5,76,A609,20.5,-44.44499999,0300,73,16
4,127,2020-09-01,RESENDE,0,973.6,-22.45138888,973.6,79,974.2,1.4,RJ,16,20.5,-1.798,16.2,2.5,20,79,A609,19.9,-44.44499999,0400,76,16.3
5,96,2020-09-01,RESENDE,0,973,-22.45138888,973,80,973.6,2,RJ,16.2,20.1,-1.805,16.3,2.7,19.8,80,A609,19.8,-44.44499999,0500,78,16.3
6,92,2020-09-01,RESENDE,0,972.6,-22.45138888,972.6,82,973,1.9,RJ,16.3,19.8,-1.736,16.5,3.6,19.6,82,A609,19.6,-44.44499999,0600,80,16.5
7,77,2020-09-01,RESENDE,0,972.2,-22.45138888,972.2,83,972.6,1.4,RJ,16.4,19.7,-1.489,16.5,3.1,19.4,83,A609,19.4,-44.44499999,0700,82,16.5
8,81,2020-09-01,RESENDE,0,972.1,-22.45138888,972,84,972.2,2,RJ,16.4,19.5,-2.17,16.5,2.9,19.3,84,A609,19.3,-44.44499999,0800,83,16.5
9,63,2020-09-01,RESENDE,0,972.7,-22.45138888,972.1,85,972.7,1.5,RJ,16.5,19.4,-1.194,16.6,2.9,19.3,85,A609,19.2,-44.44499999,0900,84,16.7
10,89,2020-09-01,RESENDE,0,973.5,-22.45138888,972.7,86,973.5,1,RJ,16.7,19.5,31.037,17,2.5,19.5,85,A609,19.2,-44.44499999,1000,85,17
11,71,2020-09-01,RESENDE,0,974.1,-22.45138888,973.5,85,974.1,1.7,RJ,16.9,20.1,237.076,17,2.7,20.1,82,A609,19.5,-44.44499999,1100,82,17.1
12,100,2020-09-01,RESENDE,0,974.8,-22.45138888,974.1,82,974.8,2.7,RJ,16.6,21.5,618.098,16.9,5.1,21.4,75,A609,20.1,-44.44499999,1200,75,17.2
13,101,2020-09-01,RESENDE,0,975,-22.45138888,974.8,76,975,2.5,RJ,16.5,22.9,1139.102,16.9,5.9,22.9,69,A609,21.2,-44.44499999,1300,69,17.3
14,72,2020-09-01,RESENDE,0,974.6,-22.45138888,974.6,69,975,3.4,RJ,15.5,25.3,1819.614,16.1,6.3,24.6,59,A609,22.6,-44.44499999,1400,58,17.1
15,72,2020-09-01,RESENDE,0,973.8,-22.45138888,973.8,60,974.6,3.7,RJ,14.4,26.5,2369.495,15.1,7,25.4,53,A609,24.1,-44.44499999,1500,52,16.3
16,64,2020-09-01,RESENDE,0,972.6,-22.45138888,972.6,54,973.9,2.2,RJ,14,26.8,1469.773,14.8,6.3,26,50,A609,24.4,-44.44499999,1600,47,15.6
17,112,2020-09-01,RESENDE,0,972,-22.45138888,972,51,972.7,2.6,RJ,13.5,26.3,935.927,13.7,6.3,25.9,47,A609,25.4,-44.44499999,1700,47,14.9
18,92,2020-09-01,RESENDE,0,971.3,-22.45138888,971.3,48,972,2.7,RJ,12.6,26.8,1065.87,13.2,6.2,26.5,44,A609,25.5,-44.44499999,1800,43,14
19,92,2020-09-01,RESENDE,0,971,-22.45138888,970.9,46,971.3,3.1,RJ,12.3,26.5,618.368,12.7,7.1,25.9,44,A609,25.8,-44.44499999,1900,42,13.6
20,117,2020-09-01,RESENDE,0,971.3,-22.45138888,970.9,48,971.3,5.1,RJ,12.9,26.1,367.073,12.9,8,24.9,47,A609,24.9,-44.44499999,2000,44,13.5
21,113,2020-09-01,RESENDE,0,971.7,-22.45138888,971.3,55,971.7,5.6,RJ,13,24.9,54.777,14.1,8.5,23.6,55,A609,23.6,-44.44499999,2100,47,14.1
22,92,2020-09-01,RESENDE,0,972.4,-22.45138888,971.7,64,972.4,4.6,RJ,14.1,23.6,-1.799,14.7,8.6,21.8,64,A609,21.8,-44.44499999,2200,55,14.7
23,58,2020-09-01,RESENDE,0,973.2,-22.45138888,972.4,72,973.2,3.8,RJ,14.7,21.8,-3.302,15.2,8.6,20.4,72,A609,20.4,-44.44499999,2300,64,15.2
24,47,2020-09-02,RESENDE,0,973.6,-22.45138888,973.1,76,973.6,2.9,RJ,15.2,20.4,-3.538,15.5,6.1,20,76,A609,19.9,-44.44499999,0000,72,15.6
25,48,2020-09-02,RESENDE,0,973.8,-22.45138888,973.5,76,973.8,2.9,RJ,15.6,20.2,-2.349,15.7,5.8,20.1,76,A609,20,-44.44499999,0100,75,15.7
26,40,2020-09-02,RESENDE,0,973.7,-22.45138888,973.7,77,973.8,1.7,RJ,15.7,20.1,-2.325,15.8,5,20,77,A609,20,-44.44499999,0200,76,15.8
