,VEN_DIR,DT_MEDICAO,DC_NOME,CHUVA,PRE_INS,VL_LATITUDE,PRE_MIN,UMD_MAX,PRE_MAX,VEN_VEL,UF,PTO_MIN,TEM_MAX,RAD_GLO,PTO_INS,VEN_RAJ,TEM_INS,UMD_INS,CD_ESTACAO,TEM_MIN,VL_LONGITUDE,HR_MEDICAO,UMD_MIN,PTO_MAX
0,56,2020-09-01,TERESÓPOLIS-PARQUE NACIONAL,0,914.9,-22.4486111,914.6,96,914.9,1.1,RJ,15.1,16.3,-1.384,15.2,2.6,15.9,95,A618,15.9,-42.98694444,0000,95,15.6
1,43,2020-09-01,TERESÓPOLIS-PARQUE NACIONAL,0,915.3,-22.4486111,914.9,95,915.3,0.8,RJ,15.1,16.1,-1.736,15.3,2.4,16,95,A618,15.9,-42.98694444,0100,95,15.3
2,1,2020-09-01,TERESÓPOLIS-PARQUE NACIONAL,0.2,915.4,-22.4486111,915.3,96,915.5,1.1,RJ,15.1,16.1,-0.704,15.3,3.1,16,96,A618,15.9,-42.98694444,0200,95,15.3
3,341,2020-09-01,TERESÓPOLIS-PARQUE NACIONAL,0.6,915.2,-22.4486111,915.2,96,915.5,0.1,RJ,15,16,-1.516,15.1,3.1,15.9,95,A618,15.9,-42.98694444,0300,95,15.3
4,207,2020-09-01,TERESÓPOLIS-PARQUE NACIONAL,0.2,914.8,-22.4486111,914.8,95,915.2,0,RJ,14.9,15.9,-1.188,15.1,1.2,15.8,95,A618,15.7,-42.98694444,0400,95,15.1
5,207,2020-09-01,TERESÓPOLIS-PARQUE NACIONAL,0,914.3,-22.4486111,914.2,95,914.8,0,RJ,14.9,15.9,-0.796,15,1.2,15.8,95,A618,15.7,-42.98694444,0500,95,15.1
6,165,2020-09-01,TERESÓPOLIS-PARQUE NACIONAL,0.2,913.9,-22.4486111,913.9,95,914.3,0.1,RJ,14.9,15.9,-1.511,14.9,0.9,15.7,95,A618,15.7,-42.98694444,0600,95,15.2
7,219,2020-09-01,TERESÓPOLIS-PARQUE NACIONAL,0,913.6,-22.4486111,913.5,95,913.9,0,RJ,14.6,15.7,-2.342,14.6,1.5,15.4,95,A618,15.3,-42.98694444,0700,95,15
8,225,2020-09-01,TERESÓPOLIS-PARQUE NACIONAL,0,913.6,-22.4486111,913.6,96,913.7,0.1,RJ,14.1,15.4,-3.06,14.1,0.7,14.8,96,A618,14.8,-42.98694444,0800,95,14.7
9,241,2020-09-01,TERESÓPOLIS-PARQUE NACIONAL,0,914.3,-22.4486111,913.6,96,914.3,0,RJ,13.8,14.8,-1.05,14.1,1.5,14.8,96,A618,14.5,-42.98694444,0900,96,14.2
10,57,2020-09-01,TERESÓPOLIS-PARQUE NACIONAL,0,914.9,-22.4486111,914.3,96,914.9,0.1,RJ,14.1,15.5,56.205,14.8,1.3,15.5,96,A618,14.8,-42.98694444,1000,96,14.8
11,292,2020-09-01,TERESÓPOLIS-PARQUE NACIONAL,0,915.7,-22.4486111,914.9,96,915.7,0.1,RJ,14.8,17.1,345.114,16.3,1.4,17.1,95,A618,15.4,-42.98694444,1100,95,16.3
12,61,2020-09-01,TERESÓPOLIS-PARQUE NACIONAL,0,916.3,-22.4486111,915.7,95,916.3,1.1,RJ,14.7,18.2,1613.787,15.1,3.3,18,83,A618,17.1,-42.98694444,1200,82,16.8
13,41,2020-09-01,TERESÓPOLIS-PARQUE NACIONAL,0,916.4,-22.4486111,916.2,84,916.4,1,RJ,14,19.5,2580.994,15,3.4,19.2,76,A618,18,-42.98694444,1300,74,16
14,28,2020-09-01,TERESÓPOLIS-PARQUE NACIONAL,0,916.2,-22.4486111,916.2,80,916.5,1.3,RJ,14.4,20.3,2982.733,15.2,3.8,19.7,75,A618,18.7,-42.98694444,1400,71,16
15,69,2020-09-01,TERESÓPOLIS-PARQUE NACIONAL,0,915.7,-22.4486111,915.7,82,916.2,1.9,RJ,14.4,20.4,2850.379,14.7,5,19.1,75,A618,18.7,-42.98694444,1500,72,16.7
