,CD_ESTACAO,CHUVA,DC_NOME,DT_MEDICAO,HR_MEDICAO,PRE_INS,PRE_MAX,PRE_MIN,PTO_INS,PTO_MAX,PTO_MIN,RAD_GLO,TEM_INS,TEM_MAX,TEM_MIN,UF,UMD_INS,UMD_MAX,UMD_MIN,VEN_DIR,VEN_RAJ,VEN_VEL,VL_LATITUDE,VL_LONGITUDE
0,A607,0,CAMPOS DOS GOYTACAZES,2020-04-01,0000,1012.3,1012.3,1011.7,21.8,21.9,21.8,-1.752,25.1,25.2,24.9,RJ,82,83,81,91,4.7,1.9,-21.71472222,-41.34388888
1,A607,0,CAMPOS DOS GOYTACAZES,2020-04-01,0100,1012.3,1012.5,1012.3,21.7,21.9,21.7,-1.826,25.1,25.2,25,RJ,81,82,81,102,3.9,2.2,-21.71472222,-41.34388888
2,A607,0,CAMPOS DOS GOYTACAZES,2020-04-01,0200,1012.1,1012.5,1012.1,21.6,21.7,21.5,-0.666,25.1,25.2,25.1,RJ,81,81,81,104,3.8,1.4,-21.71472222,-41.34388888
3,A607,0,CAMPOS DOS GOYTACAZES,2020-04-01,0300,1011.8,1012.3,1011.8,21.7,21.7,21.5,-0.595,25,25.2,24.9,RJ,82,82,81,126,2.8,1.5,-21.71472222,-41.34388888
4,A607,0,CAMPOS DOS GOYTACAZES,2020-04-01,0400,1011.4,1011.8,1011.3,21.5,21.7,21.5,-1.167,24.6,25,24.6,RJ,83,83,81,3,3,0.8,-21.71472222,-41.34388888
5,A607,1.6,CAMPOS DOS GOYTACAZES,2020-04-01,0500,1011.1,1011.5,1011.1,22.3,22.4,21.5,-2.344,24,24.6,24,RJ,90,90,83,145,3.8,2.3,-21.71472222,-41.34388888
6,A607,3.4,CAMPOS DOS GOYTACAZES,2020-04-01,0600,1011.2,1011.3,1011.1,21,22.3,20.9,-1.962,22.6,24,22.6,RJ,91,91,89,136,6.9,2.8,-21.71472222,-41.34388888
7,A607,2.6,CAMPOS DOS GOYTACAZES,2020-04-01,0700,1011.1,1011.4,1011.1,21.1,21.3,20.9,-1.534,22.7,22.8,22.5,RJ,91,92,91,136,5.5,1.9,-21.71472222,-41.34388888
8,A607,0.6,CAMPOS DOS GOYTACAZES,2020-04-01,0800,1011.9,1011.9,1011,21,21.1,20.9,-1.257,22.6,22.7,22.5,RJ,91,91,90,294,3.6,0.9,-21.71472222,-41.34388888
9,A607,0,CAMPOS DOS GOYTACAZES,2020-04-01,0900,1012.5,1012.5,1011.9,21.2,21.3,21,5.535,22.6,22.7,22.5,RJ,92,92,91,246,2,1.1,-21.71472222,-41.34388888
10,A607,0,CAMPOS DOS GOYTACAZES,2020-04-01,1000,1013.2,1013.2,1012.6,21.7,21.7,21.2,111.583,23.1,23.1,22.6,RJ,92,92,92,231,2.8,0.8,-21.71472222,-41.34388888
